Marybeth Castonguay | Orval Alaimo
Marybeth Castonguay | Catharine Colwell
Marybeth Castonguay | Melodie Tomson
Kasey Monsour       | Orval Alaimo
Kasey Monsour       | Greta Woodall
Cinthia Mcglothin   | Rocky Tamura
Cinthia Mcglothin   | Marybeth Castonguay
Cinthia Mcglothin   | Marline Jablonski
Marline Jablonski   | Melodie Tomson
Orval Alaimo        | Kasey Monsour
Orval Alaimo        | Sammy Riggs
Catharine Colwell   | Kasey Monsour
Catharine Colwell   | Greta Woodall
Sammy Riggs         | Cinthia Mcglothin
Sammy Riggs         | Marline Jablonski
Sammy Riggs         | Catharine Colwell
Sammy Riggs         | Greta Woodall
Rocky Tamura        | Marybeth Castonguay
Melodie Tomson      | Orval Alaimo
Melodie Tomson      | Rocky Tamura
Greta Woodall       | Marline Jablonski
Greta Woodall       | Orval Alaimo
Greta Woodall       | Sammy Riggs
